path,product_title,price,size,color,SKU,Description,Category,thumbnail
Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Promotions/Women Sale|Clothing/Collections/Performance Fabrics|Clothing,Cassia Funnel Sweatshirt,£48.00,"XS, S, M, L, XL","Orange, Purple, White",WH08,"The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.,• White full zip hoodie with gray detail.,• 65% Cotton/28% Nylon/7% Spandex.,• Front slash pockets.,• Tagless label at back neck.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh08-white_main-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing,Bruno Compete Hoodie,£63.00,"XS, S, M, L, XL","Black, Blue, Green",MH03,"Stay comfortable and stay in the race no matter what the weather’s up to. The Bruno Compete Hoodie’s water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.,• Full zip black hoodie pullover. ,• Adjustable drawstring hood. ,• Ribbed cuffs/waistband. ,• Kangaroo pocket. ,• Machine wash/dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh03-black_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Promotions/Women Sale|Clothing,Bess Yoga Short,£28.00,"28, 29, 30, 31, 32","Blue, Purple, Yellow",WSH05,"Designed for intense physical activity – think bikram – our Bess Yoga Short features moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.,• Navy cotton shorts with light bue waist detail.,• Front shirred waistband.,• Flat-lock, chafe-free side seams.,• Vented gusset.,• Hidden interior pocket.,• Sustainable and recycled fabric.",Women Sale|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh05-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/Eco Friendly|Clothing,Bella Tank,£29.00,"XS, S, M, L, XL","Black, Blue, Orange",WT01,"Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you’ll be supported and stylish at the same time.,• Navy blue tank top – cotton.,• Feminine scoop neckline.,• Power mesh lining in shelf bra for superior support.,• Soft, breathable fabric.,• Dry wick fabric to stay cool and dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt01-blue_main-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing,Bardot Capri,£48.00,"28, 29","Black, Green, Red",WP08,"Black is back — was it ever gone? — which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.,• Black capris with pink waistband.,• Cropped leggings.,• Waistband drawcord. ,• Flat, thin and flattering.,• Made with organic fabric.",Pants|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp08-black_main-600x744.jpg
Home/Clothing/Men/Tops/Jackets,Beaumont Summit Kit,£42.00,"XS, S, M, L, XL","Orange, Red, Yellow",MJ01,"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker’s paradise package.,• Yellow full zip rain jacket.,• Full-zip front. ,• Stand-up collar. ,• Elasticized cuffs. ,• Machine wash/dry.",Jackets,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mj01-yellow_main-600x745.jpg
Home/Clothing/Women/Tops/Jackets,Augusta Pullover Jacket,£57.00,"XS, S, M, L, XL","Blue, Orange, Red",WJ03,"It’s hard to be uncomfortable in the Augusta Pullover Jacket with ¼ zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.,• Pink half-zip pullover. ,• Front pouch pockets. ,• Fold-down collar.",Jackets,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wj03-red_main-600x744.jpg
Home/Clothing/Men/Tops/Tees,Balboa Persistence Tee,£29.00,"XS, S, M, L, XL","Gray, Green, Orange",MS03,"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.,• Crew neckline. ,• Semi-fitted. ,• Cocona® performance fabric. ,• Machine wash/dry.",Tees,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms03-black_main-600x744.jpg
Home/Clothing/Women/Tops/Hoodies & Sweatshirts,Autumn Pullie,£57.00,"XS, S, M, L, XL","Green, Purple, Red",WH03,"With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.,• Cayenne Short-Sleeve roll neck sweatshirt. ,• Relaxed fit. ,• Short-Sleeves. ,• Machine wash/dry.",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh03-red_main-600x744.jpg
Home/Clothing/Men/Tops/Tees,Atomic Endurance Running Tee (V-neck),£28.00,"XS, S, M, L, XL","Blue, Green, Yellow",MS11,"Reach your limit and keep on going in the Atomic Endurance Running Tee. Built to help any athlete push past the wall with loads of performance features.,• Lime heathered v-neck tee. ,• Ultra-lightweight.,• Moisture-wicking Cocona® fabric.,• Machine wash/dry.",Tees,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms11-green_main-600x744.jpg
Home/Clothing/Men/Tops/Tees,Atomic Endurance Running Tee (Crew-Neck),£29.00,"XS, S, M, L, XL","Black, Blue, Red",MS12,"Like it’s v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona® fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.,• Red polyester tee.,• Crew neckline. ,• Cocona® performance fabric. ,• Machine wash/dry.",Tees,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms12-red_main-600x744.jpg
Home/Clothing/Men/Tops/Tanks|Clothing/Collections/Eco Friendly|Clothing,Atlas Fitness Tank,£18.00,"XS, S, M, L, XL",Blue,MT11,"From weekend warrior to Warrior Pose II, no role can beat the Atlas Fitness Tank, a versatile top for gym and yoga studio. Wicking-weave soft fabric helps prevent uncomfortable chafing.,• Teal scoop neck cotton tank.,• Triblend, soft fabric.,• Relaxed fit.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt11-blue_main-600x744.jpg
Home/Gear/Watches|Collections/New Luma Yoga Collection,Dash Digital Watch,£92.00,,,24-MG02,"The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.",New Luma Yoga Collection,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg02-bk-0-600x744.jpg
Home/Clothing/Men/Tops/Tees,Deion Long-Sleeve EverCool™ Tee,£39.00,"XS, S, M, L, XL","Black, Green, White",MS07,"When you’re training, ordinary tees don’t cut it. That’s why the Dion Long-Sleeve EverCool™ Tee features revolutionary Cocona® fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.,• Fitted. ,• Contrast inner neck tape. ,• Machine wash/dry.",Tees,https://gopher1.extrkt.com/wp-content/uploads/2023/11/ms07-green_main-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Eco Friendly|Clothing,Daria Bikram Pant,£51.00,"28, 29","Black, Gray, White",WP10,"The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.,• Heather gray capris with pink striped waist.,• Flatlock seams.,• Interior pocket.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp10-gray_main-600x744.jpg
Home/Gear/Watches|Collections/New Luma Yoga Collection,Cruise Dual Analog Watch,£55.00,,,24-MG05,"Whether you’re traveling or wish you were, you’ll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.",New Luma Yoga Collection,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg05-br-0-600x744.jpg
Home/Clothing/Women/Tops/Hoodies & Sweatshirts,Daphne Full-Zip Hoodie,£59.00,"XS, S, M, L, XL",Purple,WH06,"The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.,• Purple full zip hoodie with pink accents. ,• Heather texture.,• 4-way stretch.,• Pre-shrunk.,• Hood lined in vegan Sherpa for added warmth.,• Ribbed hem on hood and front pouch pocket.,• 60% Cotton / 40% Polyester.",Hoodies & Sweatshirts,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh06-purple_main-600x744.jpg
Home/Gear/Bags,Crown Summit Backpack,£38.00,,,24-MB03,"The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.",Bags,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mb03-black-0-600x744.jpg
Home/Clothing/Men/Bottoms/Pants|Clothing/Promotions/Pants|Clothing,Cronus Yoga Pant,£48.00,"32, 33, 34, 36","Black, Blue, Red",MP12,"Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.,• Drawstring waist.,• Loose, straight-leg fit.,• Lightweight cotton-recycled blend.,• Front pockets with stitching detail.,• Elastic ankle.",Pants|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mp12-black_main-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing,Cora Parachute Pant,£75.00,"28, 29","Black, Blue, White",WP04,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.,• Light blue parachute pants.,• Power mesh internal waistband for support.,• Internal waistband pocket.,• Antimicrobial finish.",Pants|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp04-blue_main-600x744.jpg
Home/Gear/Bags,Compete Track Tote,£32.00,,,24-WB02,"The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.",Bags,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb02-green-0-600x744.jpg
Home/Gear/Watches,Clamber Watch,£54.00,,,24-WG03,"Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.",Watches,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wg03-gr-0-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks,Chloe Compete Tank,£39.00,"XS, S, M, L, XL","Blue, Red, Yellow",WT06,"You’ve earned your figure, so stay cool and let it do all the talking in the form-fitted, sleek racerback Chloe Compete Tank. Designed for total range of motion and performance, the Nona is made with highly breathable mesh fabric.,• Royal blue tank top – nylon/spandex.,• Flatlock stitching.,• Moisture-wicking fabric. ,• Ergonomic seaming. ,• Machine wash/dry.",Bras & Tanks,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wt06-blue_main-600x744.jpg
Home/Clothing/Men/Tops/Hoodies & Sweatshirts|Clothing/Collections/Eco Friendly|Clothing,Chaz Kangeroo Hoodie,£52.00,"XS, S, M, L, XL","Black, Gray, Orange",MH01,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.,• Two-tone gray heather hoodie.,• Drawstring-adjustable hood. ,• Machine wash/dry.",Eco Friendly|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mh01-gray_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks|Clothing/Collections/New Luma Yoga Collection|Clothing/Collections/Performance Fabrics|Clothing,Celeste Sports Bra,£39.00,"XS, S, M, L, XL","Green, Red, Yellow",WB03,"Whatever your goals for the day’s workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.,• Mint bra top. ,• Seam-free interior molded cups,• Odor control. ,• UV protection. ,• Machine wash/dry.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb03-green_main-600x744.jpg
Home/Clothing/Men/Bottoms/Shorts|Clothing/Collections/Erin Recommends|Clothing,Cobalt CoolTech™ Fitness Short,£44.00,"32, 33, 34, 36","Black, Blue, Red",MSH01,"It’s not rocket surgery: the hotter your conditions, the more you need to stay cool. That’s why the Cobalt CoolTech™ Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.,• Light blue nylon shorts.,• Relaxed fit. ,• 5″ inseam. ,• Machine wash/dry.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/msh01-blue_main-600x744.jpg
Home/Clothing/Women/Bottoms/Shorts|Clothing/Collections/Erin Recommends|Clothing,Erika Running Short,£45.00,,,WSH12,"A great short with a body-hugging design, the Erika Running Short is perfect for runners who prefer a fitted short rather than the traditional baggy variety.,• Seafoam pattern running shorts.,• Elastic waistband.,• Snug fit.,• 4” inseam.,• 76% premium brushed Nylon / 24% Spandex.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wsh12-green_main-600x744.jpg
Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/Performance Fabrics|Clothing,Circe Hooded Ice Fleece,£68.00,"XS, S, M, L, XL","Gray, Green, Purple",WH12,"Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.,Full-zip front. ,Three-panel hood. ,Flatlock seams throughout. ,Welt hand pockets. ,Machine wash/dry.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh12-gray_main-600x744.jpg
Home/Clothing/Men/Tops/Tanks,Cassius Sparring Tank,£18.00,"XS, S, M, L, XL",Blue,MT12,"Whether you’re up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.,• Royal crewneck cotton tank.,• Contrast stitching.,• Self fabric binding at neckline.,• Slim fit.,• 96% Merino / 4% LYCRA®.",Tanks,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mt12-blue_main-600x744.jpg
Home/Gear/Watches,Endurance Watch,£49.00,,,24-MG01,"It’s easy to track and monitor your training progress with the Endurance Watch. You’ll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.",Watches,https://gopher1.extrkt.com/wp-content/uploads/2023/11/mg01-bk-0-600x744.jpg
Home/Clothing/Women/Tops/Hoodies & Sweatshirts|Clothing/Collections/Erin Recommends|Clothing,Eos V-Neck Hoodie,£54.00,"XS, S, M, L, XL","Blue, Green, Orange",WH11,"Getting chilly before class starts? Wear the Eos on your way to and from yoga for a cute and cozy warmup piece. Reach for its reliable comfort and enjoy a super-soft blend of fabrics finished in sporty style that includes a hidden kangaroo pocket.,Semi-fitted. ,Long-Sleeve. ,Machine wash/line dry.",Erin Recommends|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wh11-blue_main-600x744.jpg
Home/Clothing/Women/Tops/Bras & Tanks,Erica Evercool Sports Bra,£39.00,"XS, S, M, L, XL","Blue, Orange, Yellow",WB02,"Perfect for medium-impact workouts, our Erica EverCool™ Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.,• Honeycomb light blue bra top.,• Elastic hem.,• Reinforced binding. ,• Machine wash/dry.",Bras & Tanks,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb02-blue_main-600x745.jpg
Home/Gear/Bags|Collections/Erin Recommends,Endeavor Daytrip Backpack,£33.00,,,24-WB06,"With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day’s worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.",Erin Recommends,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wb06-red-0-600x744.jpg
Home/Clothing/Women/Bottoms/Pants|Clothing/Promotions/Pants|Clothing/Collections/Performance Fabrics|Clothing,Emma Leggings,£42.00,"28, 29","Blue, Purple, Red",WP02,"These comfortable and practical leggings pair perfectly with any workout top or casual tee. The Emma’s subtle contrast fabric and fit ensure you’re stylish without overdoing it.,• Light blue heather yoga pants. ,• Body hugging fit.,• Low rise fit.",Performance Fabrics|Clothing,https://gopher1.extrkt.com/wp-content/uploads/2023/11/wp02-blue_main-600x744.jpg
